area_m2,n_cuartos,n_banos,n_garajes,tipo_inmueble,zona,valor_venta,barrio_comun
132.0,2.0,2,2.0,Apartamento,CHAPINERO,830000000,EMAUS
279.0,3.0,4,2.0,Apartamento,NORTE,2400000000,EL REFUGIO
30.0,1.0,1,1.0,Apartamento,NOROCCIDENTE,200000000,PASADENA
187.0,3.0,3,0.0,Apartamento,NORTE,990000000,SANTA BÁBARA
159.0,3.0,5,2.0,Apartamento,NORTE,1250000000,LOS ROSALES
180.0,2.0,3,2.0,Apartamento,NORTE,1250000000,EL REFUGIO
128.0,3.0,3,2.0,Apartamento,NORTE,1183841390,SAN PATRICIO
46.0,2.0,1,0.0,Apartamento,OCCIDENTAL,184000000,CIUDAD MONTES
350.0,4.0,5,4.0,Casa,NOROCCIDENTE,1950000000,SAN JOSE DE BAVARIA
180.0,2.0,3,3.0,Apartamento,NORTE,1800000000,LOS ROSALES
320.0,4.0,2,1.0,Casa,SUR,570000000,20 DE JULIO
102.0,4.0,3,1.0,Casa,NOROCCIDENTE,390000000,MIRANDELA
230.0,3.0,4,3.0,Apartamento,NORTE,1800000000,EL REFUGIO
190.0,3.0,3,2.0,Apartamento,NORTE,1150000000,CHICO
400.0,4.0,4,2.0,Casa,NORTE,5300000000,SANTA ANA ORIENTAL
165.0,3.0,4,3.0,Apartamento,CHAPINERO,1600000000,LOS ROSALES EMAUS
108.0,2.0,2,2.0,Apartamento,NORTE,480000000,RINCON DEL CHICO
292.0,4.0,4,2.0,Casa,NOROCCIDENTE,1200000000,CERROS DE SUBA
336.0,3.0,3,1.0,Casa,NOROCCIDENTE,1500000200,MORATO
79.0,3.0,3,2.0,Apartamento,NOROCCIDENTE,373000000,BRITALIA
135.0,3.0,4,2.0,Apartamento,NORTE,790000000,SANTA BARBARA
90.75,3.0,2,1.0,Apartamento,OCCIDENTAL,550000000,NORMANDIA
130.0,3.0,3,2.0,Apartamento,NORTE,810000000,CERROS DEL COUNTRY
98.0,2.0,2,1.0,Apartamento,NORTE,340000000,EL CONTADOR
57.0,2.0,2,0.0,Apartamento,CENTRO,246213000,
61.88,2.0,2,1.0,Apartamento,NOROCCIDENTE,390000000,COLINA CAMPESTRE
243.0,4.0,5,4.0,Casa,NOROCCIDENTE,2400000000,SAN JOSE DE BAVARIA
94.0,3.0,2,1.0,Apartamento,OCCIDENTAL,450000000,SANTA MARIA DEL LAGO
50.0,2.0,2,0.0,Apartamento,NOROCCIDENTE,175000000,CASA BLANCA SECTOR EL PLAN
201.0,3.0,4,2.0,Apartamento,NORTE,1200000000,CHICO
260.0,5.0,3,0.0,Casa,SUR,390000000,VRREY SUR
226.0,4.0,4,4.0,Apartamento,NORTE,1550000000,SANTA BARBARA OCCIDENTAL
220.0,3.0,3,1.0,Casa,OCCIDENTAL,450000000,VILLA ALSACIA
64.0,1.0,2,1.0,Apartamento,NORTE,460000000,SANTA BARBARA CENTRAL-USAQUÉN
276.0,3.0,4,2.0,Casa,NOROCCIDENTE,1200000000,SAN JOSE DE BAVARIA
200.0,4.0,4,2.0,Apartamento,NORTE,1200000000,SANTA BARBARA OCCIDENTAL
150.0,3.0,3,3.0,Apartamento,NORTE,690000000,LA CAROLINA
126.0,2.0,3,2.0,Apartamento,CHAPINERO,990000000,LOS ROSALES
218.0,3.0,4,2.0,Apartamento,NORTE,1600000000,EL NOGAL
125.0,2.0,3,2.0,Apartamento,NORTE,850000000,LA CAROLINA
106.0,3.0,3,1.0,Apartamento,NORTE,415000000,LOS CEDROS
164.0,3.0,4,2.0,Casa,NOROCCIDENTE,660000000,BATAN
66.0,3.0,2,1.0,Apartamento,OCCIDENTAL,275000000,HAYUELOS
52.56,3.0,2,1.0,Apartamento,OCCIDENTAL,265000000,SAN FERNANDO
66.26,3.0,2,1.0,Apartamento,OCCIDENTAL,346400000,VILLAS DE GRANADA
300.0,4.0,3,3.0,Casa,NORTE,830000000,LISBOA
